Material,Geometry,H_nm,Temperature_K,Energy_level,Frequency_THz,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio,Relative_change_percent
Ge,Bulk,,300,E1,0.6,60.972,60.156,0.9866168,-1.338320000000004
Ge,Bulk,,300,E2,0.6,60.972,59.463,0.9752509,-2.474909999999997
Ge,Bulk,,300,E3,0.6,60.972,58.274,0.9557502,-4.424980000000001
Ge,Bulk,,300,E1,0.8,60.972,60.086,0.9854687,-1.4531300000000025
Ge,Bulk,,300,E2,0.8,60.972,59.367,0.9736764,-2.6323600000000003
Ge,Bulk,,300,E3,0.8,60.972,58.164,0.9539461,-4.605389999999998
Ge,Bulk,,300,E1,1.0,60.972,59.915,0.9826642,-1.7335800000000012
Ge,Bulk,,300,E2,1.0,60.972,59.022,0.9680181,-3.1981900000000008
Ge,Bulk,,300,E3,1.0,60.972,57.548,0.9438431,-5.615689999999995
Ge,Bulk,,300,E1,1.2,60.972,60.101,0.9857148,-1.4285199999999998
Ge,Bulk,,300,E2,1.2,60.972,59.331,0.973086,-2.6913999999999993
Ge,Bulk,,300,E3,1.2,60.972,58.013,0.9514695,-4.853050000000003
Ge,Bulk,,300,E1,1.4,60.972,60.101,0.9857148,-1.4285199999999998
Ge,Bulk,,300,E2,1.4,60.972,59.291,0.97243,-2.7569999999999983
Ge,Bulk,,300,E3,1.4,60.972,57.954,0.9505019,-4.949809999999999
Ge,Bulk,,300,E1,1.6,60.972,59.78,0.98045,-1.9549999999999956
Ge,Bulk,,300,E2,1.6,60.972,58.72,0.963065,-3.693500000000005
Ge,Bulk,,300,E3,1.6,60.972,56.946,0.9339697,-6.603029999999999
Ge,Bulk,,300,E1,1.8,60.972,59.633,0.9780391,-2.196089999999995
Ge,Bulk,,300,E2,1.8,60.972,58.4,0.9578167,-4.2183300000000035
Ge,Bulk,,300,E3,1.8,60.972,56.274,0.9229482,-7.70518
Ge,Bulk,,300,E1,2.0,60.972,59.159,0.970265,-2.9734999999999956
