Material,Size_Lx_A,H_nm,Average_MFP_nm,Knudsen_number,Frequency_THz,Debye_frequency_THz,Normalized_frequency,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio_raw,Ratio_plotted,Relative_change_plotted_percent,Was_overridden_in_plot
Ge,10,1.0,37.734179,37.734179,0.4,7.5,0.05333333333333334,0.924030012150858,0.9479305006041672,1.0258654893661692,1.0258654893661692,2.586548936616917,False
Ge,10,1.0,37.734179,37.734179,0.6,7.5,0.08,0.924030012150858,0.9386717922922612,1.0158455677292577,1.0158455677292577,1.5845567729257715,False
Ge,10,1.0,37.734179,37.734179,0.8,7.5,0.10666666666666667,0.924030012150858,0.952596937102178,1.0309155812859638,1.0309155812859638,3.0915581285963833,False
Ge,10,1.0,37.734179,37.734179,1.0,7.5,0.13333333333333333,0.924030012150858,0.9471480360081952,1.0250186937148562,1.0250186937148562,2.501869371485621,False
Ge,10,1.0,37.734179,37.734179,1.2,7.5,0.16,0.924030012150858,0.952406096284867,1.0307090503131584,1.0307090503131584,3.0709050313158404,False
Ge,10,1.0,37.734179,37.734179,1.4,7.5,0.18666666666666665,0.924030012150858,0.948011820424882,1.025953494971664,1.025953494971664,2.5953494971663993,False
Ge,10,1.0,37.734179,37.734179,1.6,7.5,0.21333333333333335,0.924030012150858,0.9481927324955958,1.0261492808967259,1.0261492808967259,2.6149280896725857,False
Ge,10,1.0,37.734179,37.734179,1.8,7.5,0.24000000000000002,0.924030012150858,0.9482653007136262,1.0262278153783728,1.0262278153783728,2.622781537837282,False
Ge,10,1.0,37.734179,37.734179,2.0,7.5,0.26666666666666666,0.924030012150858,0.947122269913666,1.0249908092368736,1.0249908092368736,2.499080923687358,False
Ge,10,1.0,37.734179,37.734179,2.2,7.5,0.29333333333333333,0.924030012150858,0.943950537907282,1.0215583103302621,1.0215583103302621,2.155831033026212,False
Ge,10,1.0,37.734179,37.734179,2.4,7.5,0.32,0.924030012150858,0.946122528086712,1.023908872704718,1.023908872704718,2.3908872704718087,False
Ge,10,1.0,37.734179,37.734179,2.6,7.5,0.3466666666666667,0.924030012150858,0.946568742171408,1.0243917726958747,1.0243917726958747,2.439177269587467,False
Ge,10,1.0,37.734179,37.734179,2.8,7.5,0.3733333333333333,0.924030012150858,0.9463723860712432,1.0241792729961,1.0241792729961,2.41792729960999,False
Ge,10,1.0,37.734179,37.734179,3.0,7.5,0.4,0.924030012150858,0.9457647467251002,1.0235216760153174,1.0235216760153174,2.3521676015317405,False
Ge,10,1.0,37.734179,37.734179,3.2,7.5,0.4266666666666667,0.924030012150858,0.9429600977138544,1.0204864401740945,1.0204864401740945,2.048644017409451,False
Ge,10,1.0,37.734179,37.734179,3.4,7.5,0.4533333333333333,0.924030012150858,0.9489778334073434,1.0269989296109707,1.0269989296109707,2.6998929610970723,False
Ge,10,1.0,37.734179,37.734179,3.6,7.5,0.48000000000000004,0.924030012150858,0.9563265046038942,1.0349517786525786,1.0349517786525786,3.495177865257859,False
Ge,10,1.0,37.734179,37.734179,3.8,7.5,0.5066666666666666,0.924030012150858,0.9508558517206122,1.0290313509485605,1.0290313509485605,2.9031350948560464,False
Ge,10,1.0,37.734179,37.734179,4.0,7.5,0.5333333333333333,0.924030012150858,0.953044818753944,1.0314002859447697,1.0314002859447697,3.1400285944769735,False
Ge,10,1.0,37.734179,37.734179,4.2,7.5,0.56,0.924030012150858,0.9486525356847142,1.0266468872331782,1.0266468872331782,2.6646887233178207,False
Ge,10,1.0,37.734179,37.734179,4.4,7.5,0.5866666666666667,0.924030012150858,0.945179625405821,1.0228884484019445,1.0228884484019445,2.2888448401944483,False
Ge,10,1.0,37.734179,37.734179,4.6,7.5,0.6133333333333333,0.924030012150858,0.9453511928210504,1.02307412139197,1.02307412139197,2.307412139197007,False
Ge,10,1.0,37.734179,37.734179,4.8,7.5,0.64,0.924030012150858,0.945382264930736,1.0231077481240858,1.0231077481240858,2.310774812408578,False
Ge,10,1.0,37.734179,37.734179,5.0,7.5,0.6666666666666666,0.924030012150858,0.941032719045251,1.0184006002735948,1.0184006002735948,1.8400600273594803,False
Ge,10,1.0,37.734179,37.734179,5.2,7.5,0.6933333333333334,0.924030012150858,0.932695615173818,1.0093780536443715,1.0093780536443715,0.9378053644371498,False
Ge,10,1.0,37.734179,37.734179,5.4,7.5,0.7200000000000001,0.924030012150858,0.9223943078050594,0.9982298146983438,0.9982298146983438,-0.17701853016561797,False
Ge,10,1.0,37.734179,37.734179,5.6,7.5,0.7466666666666666,0.924030012150858,0.9189974850467006,0.9945537189939933,0.9945537189939933,-0.5446281006006748,False
Ge,10,1.0,37.734179,37.734179,5.8,7.5,0.7733333333333333,0.924030012150858,0.9223778793755768,0.9982120355902342,0.9982120355902342,-0.17879644097658076,False
Ge,10,1.0,37.734179,37.734179,6.0,7.5,0.8,0.924030012150858,0.9271691046887672,1.0033971759538443,1.0033971759538443,0.3397175953844256,False
Ge,10,1.0,37.734179,37.734179,6.2,7.5,0.8266666666666667,0.924030012150858,0.929857963199196,1.0063071014704081,1.0063071014704081,0.6307101470408139,False
Ge,10,1.0,37.734179,37.734179,6.4,7.5,0.8533333333333334,0.924030012150858,0.9370102819061072,1.0140474547196094,1.0140474547196094,1.4047454719609442,False
Ge,10,1.0,37.734179,37.734179,6.6,7.5,0.88,0.924030012150858,0.9436403772933344,1.0212226495726362,1.0212226495726362,2.12226495726362,False
Ge,10,1.0,37.734179,37.734179,6.8,7.5,0.9066666666666666,0.924030012150858,0.946755327435657,1.0245936982413606,1.0245936982413606,2.4593698241360595,False
Ge,10,1.0,37.734179,37.734179,7.0,7.5,0.9333333333333333,0.924030012150858,0.947951173747506,1.0258878621712373,1.0258878621712373,2.5887862171237286,False
Ge,10,1.0,37.734179,37.734179,7.2,7.5,0.9600000000000001,0.924030012150858,0.9494012680576892,1.0274571773353711,1.0274571773353711,2.745717733537112,False
Ge,10,1.0,37.734179,37.734179,7.4,7.5,0.9866666666666667,0.924030012150858,0.946630239995892,1.0244583266212617,1.0244583266212617,2.4458326621261683,False
Ge,20,2.0,37.734179,18.8670895,0.4,7.5,0.05333333333333334,1.682561796260948,1.740357455535879,1.0343497988622865,1.0343497988622865,3.4349798862286507,False
Ge,20,2.0,37.734179,18.8670895,0.6,7.5,0.08,1.682561796260948,1.722515975503924,1.023746039718579,1.023746039718579,2.3746039718578915,False
