Material,Temperature_K,H_nm,Frequency_THz,Energy_level,Film_Kappa_unexcited_W_mK,Film_Kappa_excited_W_mK,Film_relative_change_percent,Bulk_Kappa_unexcited_W_mK,Bulk_Kappa_excited_W_mK,Bulk_relative_change_percent
Ge,100,100,0.8,E3,33.85574784852461,33.78412687885556,-0.211547445324467,264.17,229.74,-13.033269999999996
Ge,100,100,5.6,E3,33.85574784852461,21.84103231583684,-35.4879637763233,264.17,89.659,-66.06011000000001
Ge,200,100,0.8,E3,26.11277561208656,26.991163415556905,3.3638239631017086,96.896,90.58,-6.518330000000006
Ge,200,100,5.6,E3,26.11277561208656,19.80187985791649,-24.167847370652574,96.896,55.826,-42.38565
Ge,300,100,0.8,E3,20.723380668707065,21.765926471651028,5.0307708940474205,60.972,58.164,-4.605389999999998
Ge,300,100,5.6,E3,20.723380668707065,16.740509544002972,-19.219215186826876,60.972,40.889,-32.938069999999996
Ge,400,100,0.8,E3,17.25998209346283,18.26220765940206,5.806643138516443,44.823,43.197,-3.6275999999999975
Ge,400,100,5.6,E3,17.25998209346283,14.462591978727476,-16.20737553253232,44.823,32.483,-27.530509999999996
Ge,500,100,0.8,E3,14.880844880116577,15.80329098394582,6.198882598808564,35.529,34.458,-3.014439999999996
Ge,500,100,5.6,E3,14.880844880116577,12.793336529549668,-14.028157456006996,35.529,27.02,-23.949450000000006
Ge,600,100,0.8,E3,13.132941721318076,13.970642038688505,6.378619011235154,29.46,28.697,-2.5899499999999964
Ge,600,100,5.6,E3,13.132941721318076,11.468240973118837,-12.675764375752996,29.46,23.22,-21.18126
Ge,1000,100,0.8,E3,9.104278551585471,9.690073182140434,6.434278424543027,16.316,15.863,-2.7764200000000017
Ge,1000,100,5.6,E3,9.104278551585471,8.274245963231406,-9.116950713349148,16.316,13.731,-15.843339999999994
Ge,2000,100,0.8,E3,5.346300111728632,5.65277579654872,5.732481873730699,8.1309,8.0108,-1.4770799999999973
Ge,2000,100,5.6,E3,5.346300111728632,5.057434452487494,-5.403094723534663,8.1309,7.3839,-9.18717
Si,100,100,1.2,E3,54.5289532498894,57.06859115585711,4.657411805301548,1109.2,855.84,-22.841690000000003
Si,100,100,10.0,E3,54.5289532498894,33.416467317990275,-38.71793730414574,1109.2,209.51,-81.11161
Si,200,100,1.2,E3,52.04490889244739,56.53062592201345,8.618935309956921,259.03,236.98,-8.512529999999996
Si,200,100,10.0,E3,52.04490889244739,40.25506402945967,-22.653214529305533,259.03,143.05,-44.77474
Si,300,100,1.2,E3,42.35026872971173,46.61359216263053,10.066815538121432,145.46,137.69,-5.341669999999999
Si,300,100,10.0,E3,42.35026872971173,35.71547210502911,-15.666480576610464,145.46,102.65,-29.430769999999995
Si,400,100,1.2,E3,35.45770500369849,39.24958667198237,10.694097849503681,102.71,98.636,-3.966510000000001
Si,400,100,10.0,E3,35.45770500369849,31.17528494212664,-12.077544390211282,102.71,80.073,-22.039719999999996
Si,500,100,1.2,E3,30.457922648056183,33.808344101892956,11.000164037945638,79.93,77.387,-3.181529999999999
Si,500,100,10.0,E3,30.457922648056183,27.4081098356771,-10.013200334178807,79.93,65.725,-17.771800000000006
Si,600,100,1.2,E3,26.811089316971614,29.762146913261592,11.006854519789822,65.624,63.875,-2.6651800000000003
Si,600,100,10.0,E3,26.811089316971614,24.53605092710045,-8.485438107250076,65.624,55.798,-14.973179999999997
Si,1000,100,1.2,E3,18.352752144861057,20.31526687550568,10.693299376323505,38.539,37.911,-1.6295199999999954
